uniF914	U+F914	樂
uni2296B	U+2296B	𢥫
uni22980	U+22980	𢦀
uni2298F	U+2298F	𢦏
uni22993	U+22993	𢦓
uni22A66	U+22A66	𢩦
uni22AB8	U+22AB8	𢪸
uni22ACF	U+22ACF	𢫏
uni22AD5	U+22AD5	𢫕
uni22AE6	U+22AE6	𢫦
uni22AE8	U+22AE8	𢫨
uni22B0E	U+22B0E	𢬎
uni22B22	U+22B22	𢬢
uni22B3F	U+22B3F	𢬿
uni22B43	U+22B43	𢭃
uni22B46	U+22B46	𢭆
uni22B4F	U+22B4F	𢭏
uni22B50	U+22B50	𢭐
uni22B6A	U+22B6A	𢭪
uni22BA6	U+22BA6	𢮦
uni22BCA	U+22BCA	𢯊
uni22BCE	U+22BCE	𢯎
uni22C1D	U+22C1D	𢰝
uni22C24	U+22C24	𢰤
uni22C26	U+22C26	𢰦
uni22C27	U+22C27	𢰧
uni22C38	U+22C38	𢰸
uni22C4C	U+22C4C	𢱌
uni22C51	U+22C51	𢱑
uni22C55	U+22C55	𢱕
uni22C62	U+22C62	𢱢
uni22C6F	U+22C6F	𢱯
uni22C88	U+22C88	𢲈
uni22C9B	U+22C9B	𢲛
uni22CA1	U+22CA1	𢲡
uni22CA9	U+22CA9	𢲩
uni22CB2	U+22CB2	𢲲
uni22CB7	U+22CB7	𢲷
uni22CC2	U+22CC2	𢳂
uni22CC6	U+22CC6	𢳆
uni22CC9	U+22CC9	𢳉
uni22D07	U+22D07	𢴇
uni22D08	U+22D08	𢴈
uni22D12	U+22D12	𢴒
uni22D44	U+22D44	𢵄
uni22D4C	U+22D4C	𢵌
uni22D67	U+22D67	𢵧
uni22D8D	U+22D8D	𢶍
uni22D95	U+22D95	𢶕
uni22DA0	U+22DA0	𢶠
uni22DA3	U+22DA3	𢶣
uni22DA4	U+22DA4	𢶤
uni22DB7	U+22DB7	𢶷
uni22DE1	U+22DE1	𢷡
uni22DEE	U+22DEE	𢷮
uni22E0D	U+22E0D	𢸍
uni22E36	U+22E36	𢸶
uni22E42	U+22E42	𢹂
uni22E78	U+22E78	𢹸
uni22E8B	U+22E8B	𢺋
uni22EB3	U+22EB3	𢺳
uni22EE0	U+22EE0	𢻠
uni22EEF	U+22EEF	𢻯
uni22F74	U+22F74	𢽴
uni22FCC	U+22FCC	𢿌
uni22FE3	U+22FE3	𢿣
uni22FEB	U+22FEB	𢿫
uni23033	U+23033	𣀳
uni23044	U+23044	𣁄
uni2304B	U+2304B	𣁋
uni23066	U+23066	𣁦
uni2307D	U+2307D	𣁽
uni2307E	U+2307E	𣁾
uni2308E	U+2308E	𣂎
uni230B7	U+230B7	𣂷
uni230BC	U+230BC	𣂼
uni230DA	U+230DA	𣃚
uni230FD	U+230FD	𣃽
uni23103	U+23103	𣄃
uni2313D	U+2313D	𣄽
uni2317D	U+2317D	𣅽
uni23182	U+23182	𣆂
uni231A4	U+231A4	𣆤
uni231A5	U+231A5	𣆥
uni231B3	U+231B3	𣆳
uni231B6	U+231B6	𣆶
uni231C3	U+231C3	𣇃
uni231C4	U+231C4	𣇄
uni231C8	U+231C8	𣇈
uni231C9	U+231C9	𣇉
uni231EA	U+231EA	𣇪
uni231F5	U+231F5	𣇵
uni231F7	U+231F7	𣇷
uni231F8	U+231F8	𣇸
uni231F9	U+231F9	𣇹
uni2320F	U+2320F	𣈏
uni23225	U+23225	𣈥
uni2322F	U+2322F	𣈯
uni23231	U+23231	𣈱
uni23232	U+23232	𣈲
uni23233	U+23233	𣈳
uni23234	U+23234	𣈴
uni23256	U+23256	𣉖
uni2325E	U+2325E	𣉞
uni23262	U+23262	𣉢
uni23281	U+23281	𣊁
uni23289	U+23289	𣊉
uni2328A	U+2328A	𣊊
uni232AB	U+232AB	𣊫
uni232AC	U+232AC	𣊬
uni232AD	U+232AD	𣊭
uni232D2	U+232D2	𣋒
uni232E0	U+232E0	𣋠
uni232E1	U+232E1	𣋡
uni23300	U+23300	𣌀
uni2330A	U+2330A	𣌊
uni2331F	U+2331F	𣌟
uni23343	U+23343	𣍃
uni23372	U+23372	𣍲
uni233B4	U+233B4	𣎴
uni233CC	U+233CC	𣏌
uni233D0	U+233D0	𣏐
uni233D2	U+233D2	𣏒
uni233D3	U+233D3	𣏓
uni233D5	U+233D5	𣏕
uni233DA	U+233DA	𣏚
uni233DE	U+233DE	𣏞
uni233DF	U+233DF	𣏟
uni233E4	U+233E4	𣏤
uni233E6	U+233E6	𣏦
uni233F4	U+233F4	𣏴
uni233F5	U+233F5	𣏵
uni233F9	U+233F9	𣏹
uni233FA	U+233FA	𣏺
uni233FE	U+233FE	𣏾
uni23400	U+23400	𣐀
uni2343F	U+2343F	𣐿
uni2344A	U+2344A	𣑊
uni2344B	U+2344B	𣑋
uni23450	U+23450	𣑐
uni23451	U+23451	𣑑
uni23465	U+23465	𣑥
uni2346F	U+2346F	𣑯
uni23472	U+23472	𣑲
uni234E4	U+234E4	𣓤
uni234E5	U+234E5	𣓥
uni23519	U+23519	𣔙
uni23530	U+23530	𣔰
uni23551	U+23551	𣕑
uni2355A	U+2355A	𣕚
uni23567	U+23567	𣕧
uni23584	U+23584	𣖄
uni23594	U+23594	𣖔
uni23595	U+23595	𣖕
uni23599	U+23599	𣖙
uni2359C	U+2359C	𣖜
uni235BB	U+235BB	𣖻
uni235C4	U+235C4	𣗄
uni235CB	U+235CB	𣗋
uni235CD	U+235CD	𣗍
uni235CE	U+235CE	𣗎
uni235CF	U+235CF	𣗏
uni235F3	U+235F3	𣗳
uni23600	U+23600	𣘀
uni23617	U+23617	𣘗
uni2361A	U+2361A	𣘚
uni23638	U+23638	𣘸
uni23639	U+23639	𣘹
uni2363A	U+2363A	𣘺
uni2363B	U+2363B	𣘻
uni2363C	U+2363C	𣘼
uni23640	U+23640	𣙀
uni23647	U+23647	𣙇
uni23659	U+23659	𣙙
