uniFA14	U+FA14	﨔
uni237BC	U+237BC	𣞼
uni237C2	U+237C2	𣟂
uni237D5	U+237D5	𣟕
uni237D6	U+237D6	𣟖
uni237D7	U+237D7	𣟗
uni237E7	U+237E7	𣟧
uni237FF	U+237FF	𣟿
uni23824	U+23824	𣠤
uni2383A	U+2383A	𣠺
uni2383D	U+2383D	𣠽
uni239C2	U+239C2	𣧂
uni23A98	U+23A98	𣪘
uni23AA7	U+23AA7	𣪧
uni23AD9	U+23AD9	𣫙
uni23ADB	U+23ADB	𣫛
uni23AEE	U+23AEE	𣫮
uni23AFA	U+23AFA	𣫺
uni23B1A	U+23B1A	𣬚
uni23B5A	U+23B5A	𣭚
uni23C63	U+23C63	𣱣
uni23C7F	U+23C7F	𣱿
uni23C97	U+23C97	𣲗
uni23C98	U+23C98	𣲘
uni23C99	U+23C99	𣲙
uni23C9A	U+23C9A	𣲚
uni23C9B	U+23C9B	𣲛
uni23CB5	U+23CB5	𣲵
uni23CB7	U+23CB7	𣲷
uni23CBE	U+23CBE	𣲾
uni23CC7	U+23CC7	𣳇
uni23CC8	U+23CC8	𣳈
uni23CC9	U+23CC9	𣳉
uni23CFC	U+23CFC	𣳼
uni23CFD	U+23CFD	𣳽
uni23CFE	U+23CFE	𣳾
uni23CFF	U+23CFF	𣳿
uni23D00	U+23D00	𣴀
uni23D0E	U+23D0E	𣴎
uni23D18	U+23D18	𣴘
uni23D40	U+23D40	𣵀
uni23D5B	U+23D5B	𣵛
uni23D7E	U+23D7E	𣵾
uni23D8F	U+23D8F	𣶏
uni23DB6	U+23DB6	𣶶
uni23DB7	U+23DB7	𣶷
uni23DB8	U+23DB8	𣶸
uni23DB9	U+23DB9	𣶹
uni23DBA	U+23DBA	𣶺
uni23DBB	U+23DBB	𣶻
uni23DBC	U+23DBC	𣶼
uni23DBD	U+23DBD	𣶽
uni23DD3	U+23DD3	𣷓
uni23DE3	U+23DE3	𣷣
uni23DF8	U+23DF8	𣷸
uni23DF9	U+23DF9	𣷹
uni23DFA	U+23DFA	𣷺
uni23E06	U+23E06	𣸆
uni23E11	U+23E11	𣸑
uni23E23	U+23E23	𣸣
uni23E2C	U+23E2C	𣸬
uni23E2D	U+23E2D	𣸭
uni23E2E	U+23E2E	𣸮
uni23E2F	U+23E2F	𣸯
uni23E30	U+23E30	𣸰
uni23E31	U+23E31	𣸱
uni23E39	U+23E39	𣸹
uni23E88	U+23E88	𣺈
uni23E89	U+23E89	𣺉
uni23E8A	U+23E8A	𣺊
uni23E8B	U+23E8B	𣺋
uni23EB9	U+23EB9	𣺹
uni23EBF	U+23EBF	𣺿
uni23ED7	U+23ED7	𣻗
uni23EF7	U+23EF7	𣻷
uni23EF8	U+23EF8	𣻸
uni23EF9	U+23EF9	𣻹
uni23EFA	U+23EFA	𣻺
uni23EFB	U+23EFB	𣻻
uni23EFC	U+23EFC	𣻼
uni23F35	U+23F35	𣼵
uni23F41	U+23F41	𣽁
uni23F4A	U+23F4A	𣽊
uni23F61	U+23F61	𣽡
uni23F7E	U+23F7E	𣽾
uni23F7F	U+23F7F	𣽿
uni23F80	U+23F80	𣾀
uni23F81	U+23F81	𣾁
uni23F82	U+23F82	𣾂
uni23F8F	U+23F8F	𣾏
uni23FB4	U+23FB4	𣾴
uni23FB7	U+23FB7	𣾷
uni23FC0	U+23FC0	𣿀
uni23FC5	U+23FC5	𣿅
uni23FEB	U+23FEB	𣿫
uni23FEC	U+23FEC	𣿬
uni23FED	U+23FED	𣿭
uni23FEE	U+23FEE	𣿮
uni23FEF	U+23FEF	𣿯
uni23FF0	U+23FF0	𣿰
uni24011	U+24011	𤀑
uni24039	U+24039	𤀹
uni2403A	U+2403A	𤀺
uni2403B	U+2403B	𤀻
uni2403C	U+2403C	𤀼
uni2403D	U+2403D	𤀽
uni2404B	U+2404B	𤁋
uni24057	U+24057	𤁗
uni24085	U+24085	𤂅
uni2408B	U+2408B	𤂋
uni2408C	U+2408C	𤂌
uni2408D	U+2408D	𤂍
uni24091	U+24091	𤂑
uni24096	U+24096	𤂖
uni240C9	U+240C9	𤃉
uni240E1	U+240E1	𤃡
uni240EC	U+240EC	𤃬
uni24103	U+24103	𤄃
uni24104	U+24104	𤄄
uni2410F	U+2410F	𤄏
uni24119	U+24119	𤄙
uni2413F	U+2413F	𤄿
uni24140	U+24140	𤅀
uni24144	U+24144	𤅄
uni2414E	U+2414E	𤅎
uni24155	U+24155	𤅕
uni24156	U+24156	𤅖
uni24157	U+24157	𤅗
uni2415C	U+2415C	𤅜
uni2415F	U+2415F	𤅟
uni24161	U+24161	𤅡
uni24177	U+24177	𤅷
uni2417A	U+2417A	𤅺
uni241A3	U+241A3	𤆣
uni241A4	U+241A4	𤆤
uni241A5	U+241A5	𤆥
uni241AC	U+241AC	𤆬
uni241B5	U+241B5	𤆵
uni241C6	U+241C6	𤇆
uni241CD	U+241CD	𤇍
uni241E2	U+241E2	𤇢
uni241FC	U+241FC	𤇼
uni241FE	U+241FE	𤇾
uni2421B	U+2421B	𤈛
uni2424B	U+2424B	𤉋
uni24256	U+24256	𤉖
uni24259	U+24259	𤉙
uni24276	U+24276	𤉶
uni24277	U+24277	𤉷
uni24278	U+24278	𤉸
uni24284	U+24284	𤊄
uni24293	U+24293	𤊓
uni24295	U+24295	𤊕
uni242A5	U+242A5	𤊥
uni242BF	U+242BF	𤊿
uni242C1	U+242C1	𤋁
uni242C9	U+242C9	𤋉
uni242CA	U+242CA	𤋊
uni242EE	U+242EE	𤋮
uni242F1	U+242F1	𤋱
uni242FA	U+242FA	𤋺
uni2430D	U+2430D	𤌍
uni2431A	U+2431A	𤌚
uni24334	U+24334	𤌴
uni24348	U+24348	𤍈
uni24362	U+24362	𤍢
uni24363	U+24363	𤍣
uni24364	U+24364	𤍤
uni24365	U+24365	𤍥
uni2438C	U+2438C	𤎌
uni24396	U+24396	𤎖
uni2439C	U+2439C	𤎜
uni2439D	U+2439D	𤎝
uni243BC	U+243BC	𤎼
uni243BD	U+243BD	𤎽
uni243C1	U+243C1	𤏁
uni243D0	U+243D0	𤏐
uni243E9	U+243E9	𤏩
uni243EA	U+243EA	𤏪
uni243F2	U+243F2	𤏲
uni243F8	U+243F8	𤏸
uni24404	U+24404	𤐄
uni24435	U+24435	𤐵
uni24436	U+24436	𤐶
uni2445A	U+2445A	𤑚
uni2445B	U+2445B	𤑛
uni24473	U+24473	𤑳
uni24487	U+24487	𤒇
uni24488	U+24488	𤒈
uni244B9	U+244B9	𤒹
uni244BC	U+244BC	𤒼
uni244CE	U+244CE	𤓎
uni244D3	U+244D3	𤓓
uni244D6	U+244D6	𤓖
uni24505	U+24505	𤔅
uni24521	U+24521	𤔡
uni24578	U+24578	𤕸
