uni7769	U+7769	睩
uni7B31	U+7B31	笱
uni7B32	U+7B32	笲
uni7B33	U+7B33	笳
uni7B34	U+7B34	笴
uni7B35	U+7B35	笵
uni7B36	U+7B36	笶
uni7B37	U+7B37	笷
uni7B38	U+7B38	笸
uni7B39	U+7B39	笹
uni7B3A	U+7B3A	笺
uni7B3B	U+7B3B	笻
uni7B3C	U+7B3C	笼
uni7B3D	U+7B3D	笽
uni7B3E	U+7B3E	笾
uni7B3F	U+7B3F	笿
uni7B40	U+7B40	筀
uni7B41	U+7B41	筁
uni7B42	U+7B42	筂
uni7B43	U+7B43	筃
uni7B44	U+7B44	筄
uni7B45	U+7B45	筅
uni7B46	U+7B46	筆
uni7B47	U+7B47	筇
uni7B48	U+7B48	筈
uni7B49	U+7B49	等
uni7B4A	U+7B4A	筊
uni7B4B	U+7B4B	筋
uni7B4C	U+7B4C	筌
uni7B4D	U+7B4D	筍
uni7B4E	U+7B4E	筎
uni7B4F	U+7B4F	筏
uni7B50	U+7B50	筐
uni7B51	U+7B51	筑
uni7B52	U+7B52	筒
uni7B53	U+7B53	筓
uni7B54	U+7B54	答
uni7B55	U+7B55	筕
uni7B56	U+7B56	策
uni7B57	U+7B57	筗
uni7B58	U+7B58	筘
uni7B59	U+7B59	筙
uni7B5A	U+7B5A	筚
uni7B5B	U+7B5B	筛
uni7B5C	U+7B5C	筜
uni7B5D	U+7B5D	筝
uni7B5E	U+7B5E	筞
uni7B5F	U+7B5F	筟
uni7B60	U+7B60	筠
uni7B61	U+7B61	筡
uni7B62	U+7B62	筢
uni7B63	U+7B63	筣
uni7B64	U+7B64	筤
uni7B65	U+7B65	筥
uni7B66	U+7B66	筦
uni7B67	U+7B67	筧
uni7B68	U+7B68	筨
uni7B69	U+7B69	筩
uni7B6A	U+7B6A	筪
uni7B6B	U+7B6B	筫
uni7B6C	U+7B6C	筬
uni7B6D	U+7B6D	筭
uni7B6E	U+7B6E	筮
uni7B6F	U+7B6F	筯
uni7B70	U+7B70	筰
uni7B71	U+7B71	筱
uni7B72	U+7B72	筲
uni7B73	U+7B73	筳
