uni6F4F	U+6F4F	潏
uni732F	U+732F	猯
uni7330	U+7330	猰
uni7331	U+7331	猱
uni7332	U+7332	猲
uni7333	U+7333	猳
uni7334	U+7334	猴
uni7335	U+7335	猵
uni7336	U+7336	猶
uni7337	U+7337	猷
uni7338	U+7338	猸
uni7339	U+7339	猹
uni733A	U+733A	猺
uni733B	U+733B	猻
uni733C	U+733C	猼
uni733D	U+733D	猽
uni733E	U+733E	猾
uni733F	U+733F	猿
uni7340	U+7340	獀
uni7341	U+7341	獁
uni7342	U+7342	獂
uni7343	U+7343	獃
uni7344	U+7344	獄
uni7345	U+7345	獅
uni7346	U+7346	獆
uni7347	U+7347	獇
uni7348	U+7348	獈
uni7349	U+7349	獉
uni734A	U+734A	獊
uni734B	U+734B	獋
uni734C	U+734C	獌
uni734D	U+734D	獍
uni734E	U+734E	獎
uni734F	U+734F	獏
uni7350	U+7350	獐
uni7351	U+7351	獑
uni7352	U+7352	獒
uni7353	U+7353	獓
uni7354	U+7354	獔
uni7355	U+7355	獕
uni7356	U+7356	獖
uni7357	U+7357	獗
uni7358	U+7358	獘
uni7359	U+7359	獙
