uni4EF3	U+4EF3	仳
uni52D3	U+52D3	勓
uni52D4	U+52D4	勔
uni52D5	U+52D5	動
uni52D6	U+52D6	勖
uni52D7	U+52D7	勗
uni52D8	U+52D8	勘
uni52D9	U+52D9	務
uni52DA	U+52DA	勚
uni52DB	U+52DB	勛
uni52DC	U+52DC	勜
uni52DD	U+52DD	勝
uni52DE	U+52DE	勞
uni52DF	U+52DF	募
uni52E0	U+52E0	勠
uni52E1	U+52E1	勡
uni52E2	U+52E2	勢
uni52E3	U+52E3	勣
uni52E4	U+52E4	勤
uni52E5	U+52E5	勥
uni52E6	U+52E6	勦
uni52E7	U+52E7	勧
uni52E8	U+52E8	勨
uni52E9	U+52E9	勩
uni52EA	U+52EA	勪
uni52EB	U+52EB	勫
uni52EC	U+52EC	勬
uni52ED	U+52ED	勭
uni52EE	U+52EE	勮
uni52EF	U+52EF	勯
uni52F0	U+52F0	勰
uni52F1	U+52F1	勱
uni52F2	U+52F2	勲
uni52F3	U+52F3	勳
uni52F4	U+52F4	勴
uni52F5	U+52F5	勵
uni52F6	U+52F6	勶
uni52F7	U+52F7	勷
uni52F8	U+52F8	勸
uni52FA	U+52FA	勺
uni52FB	U+52FB	勻
uni52FC	U+52FC	勼
uni52FD	U+52FD	勽
uni52FE	U+52FE	勾
uni52FF	U+52FF	勿
